"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MT000016597","LUQA, MT","2016-02-02","0.01","57","66","50"
"MT000016597","LUQA, MT","2016-02-03","0.01","59","64",
"MT000016597","LUQA, MT","2016-02-04","0.00","56","61",
"MT000016597","LUQA, MT","2016-02-05","0.01","54","61",
"MT000016597","LUQA, MT","2016-02-06","0.00","53","61","46"
"MT000016597","LUQA, MT","2016-02-07","0.00","57","63","51"
"MT000016597","LUQA, MT","2016-02-08","0.04","57","62",
"MT000016597","LUQA, MT","2016-02-09","0.00","57","63",
"MT000016597","LUQA, MT","2016-02-10","0.00","61","69",
"MT000016597","LUQA, MT","2016-02-11","0.00","60","67","55"
"MT000016597","LUQA, MT","2016-02-12",,"61","71","55"
"MT000016597","LUQA, MT","2016-02-13","0.00","63","71","58"
"MT000016597","LUQA, MT","2016-02-14","0.00","62","69","60"
"MT000016597","LUQA, MT","2016-02-15","0.00","63","74",
"MT000016597","LUQA, MT","2016-02-16","0.00","62","66",
"MT000016597","LUQA, MT","2016-02-17","0.00","59","63","52"
"MT000016597","LUQA, MT","2016-02-18",,"58",,
"MT000016597","LUQA, MT","2016-02-19","0.02","57","65",
"MT000016597","LUQA, MT","2016-02-20","0.00","56","64",
"MT000016597","LUQA, MT","2016-02-21","0.00","56","65","49"
"MT000016597","LUQA, MT","2016-02-22","0.00","59","67","53"
"MT000016597","LUQA, MT","2016-02-23","0.01","59","68","49"
"MT000016597","LUQA, MT","2016-02-24","0.00","59","66",
"MT000016597","LUQA, MT","2016-02-25","0.00","58","65","49"
"MT000016597","LUQA, MT","2016-02-26","0.01","58","65",
"MT000016597","LUQA, MT","2016-02-27","0.00","58","64","50"
"MT000016597","LUQA, MT","2016-02-28","0.00","62","68",
"MT000016597","LUQA, MT","2016-02-29","0.00","58","64","52"
"MT000016597","LUQA, MT","2016-03-01","0.00","58","65","52"
"MT000016597","LUQA, MT","2016-03-02","0.02","57","64","53"
"MT000016597","LUQA, MT","2016-03-03","0.04","57","64",
"MT000016597","LUQA, MT","2016-03-04","0.03","55","62",
